Country,Base year (Convention),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,"143,006","143,006","146,266","149,610","151,398","152,293","158,149","162,856","169,539","182,105","189,441","192,473","199,743","201,917","206,272","214,073","216,547","221,506","224,175","226,300","229,123","225,367","221,520","221,562"
Austria,"13,843","13,843","14,680","11,361","11,514","11,810","12,972","13,857","13,926","13,059","12,582","12,276","13,890","13,538","16,362","16,406","16,312","15,171","13,939","13,741","12,707","14,075","13,851","12,447"
Belarus,"65,307","65,307","58,764","54,679","45,722","39,376","33,570","33,704","35,528","33,451","32,104","30,751","31,187","30,834","30,666","32,691","32,121","32,558","30,515","31,545","30,340","31,773","29,073","28,665"
Belgium,"29,993","29,993","29,932","28,769","28,237","30,019","29,425","29,246","28,112","30,840","27,132","28,530","27,023","28,514","29,634","29,784","29,380","28,271","27,538","25,478","25,939","26,499","23,103","22,879"
Bulgaria,"42,117","38,803","30,457","28,712","29,017","26,715","27,225","27,037","29,064","27,858","24,227","24,072","27,954","25,286","27,167","26,862","27,044","27,356","30,679","32,203","29,624","31,547","36,360","31,573"
Canada,"144,450","144,450","143,377","152,408","143,823","146,476","151,178","152,268","161,491","177,580","186,139","197,962","202,393","199,841","204,283","197,815","190,923","186,301","193,070","179,615","163,826","163,746","156,064","151,742"
Croatia,"7,144","7,144","4,779","5,351","5,932","4,681","5,275","5,122","5,607","6,287","6,482","5,895","6,395","7,269","7,949","6,844","6,802","6,650","7,761","6,726","6,392","5,905","6,275","5,618"
Cyprus,"1,773","1,773","1,835","2,133","2,254","2,386","2,177","2,292","2,424","2,657","2,843","2,970","2,853","3,015","3,242","3,297","3,483","3,665","3,814","3,980","4,005","3,880","3,722","3,557"
Czech Republic,"57,937","57,937","57,627","51,489","53,739","53,932","60,667","64,604","60,613","58,283","56,239","59,522","61,804","60,204","60,152","60,180","61,124","60,573","64,192","59,020","56,153","58,856","58,393","57,413"
Denmark,"26,525","26,525","35,417","30,482","32,075","36,191","32,722","45,108","35,961","32,343","29,261","26,225","27,592","27,770","32,517","26,605","23,348","31,275","26,579","24,488","24,373","24,357","20,425","17,019"
Estonia,"28,849","28,849","26,331","19,903","15,674","15,932","14,406","14,930","14,505","12,931","12,359","11,917","11,732","11,453","13,251","13,174","12,396","11,661","13,905","12,609","10,692","14,240","14,539","13,086"
European Union (15),"1,165,495","1,165,495","1,167,581","1,129,984","1,083,679","1,094,051","1,103,349","1,119,904","1,085,403","1,121,127","1,099,504","1,132,530","1,158,945","1,190,824","1,224,576","1,221,040","1,216,096","1,224,296","1,225,165","1,161,418","1,063,923","1,072,780","1,041,891","1,055,372"
European Union (28),"1,676,232","1,676,232","1,651,256","1,576,223","1,511,704","1,516,778","1,518,541","1,549,296","1,502,029","1,519,801","1,476,800","1,508,243","1,547,512","1,565,522","1,617,021","1,603,209","1,594,565","1,608,775","1,616,767","1,538,015","1,414,171","1,435,590","1,413,478","1,408,894"
