Index,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12
AUSTRALI.INDPROD.THERMAL ,19479,17709,18149,16008,17827,17962,18536,18031,16626,16045,15669,16058,18900,16898,17191,15575,17197,16994,17645,17123,15452,16074,16521,16305,17505,16529,16300,15541,16682,16069,16940,16412,14742,15627,15703,16403
AUSTRALI.INDPROD.NUCLEAR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALI.INDPROD.HYDRO   ,755,749,650,777,1004,1073,1145,1273,1322,1204,1319,1251,1254,1302,1062,975,1383,1446,1609,1405,1293,1054,1135,953,894,945,1242,1273,1304,1684,2278,2135,1898,1637,1280,1262
AUSTRALI.INDPROD.GEOTHERM,441,418,440,352,309,321,387,656,409,448,379,515,435,507,559,453,418,597,615,530,756,586,591,607,799,557,635,467,546,667,566,804,735,663,686,862
AUSTRALI.INDPROD.ELECTR  ,20674,18876,19239,17137,19140,19355,20068,19960,18357,17697,17367,17824,20588,18706,18812,17003,18998,19037,19868,19058,17501,17714,18248,17866,19198,18031,18177,17281,18532,18419,19784,19351,17375,17927,17669,18526
AUSTRALI.IMPORTS.ELECTR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALI.EXPORTS.ELECTR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRALI.CONSUME.ELECTR  ,20674,18876,19239,17137,19140,19355,20068,19960,18357,17697,17367,17824,20588,18706,18812,17003,18998,19037,19868,19058,17501,17714,18248,17866,19198,18031,18177,17281,18532,18419,19784,19351,17375,17927,17669,18526
AUSTRIA.INDPROD.THERMAL  ,3138,2882,2439,1734,1424,1508,1655,1390,1809,2575,2604,3059,3035,2647,2875,1914,1865,1393,1447,1188,1748,2081,2593,2423,2521,2994,2104,1519,1040,1104,1069,1322,1484,2032,2362,2519
AUSTRIA.INDPROD.NUCLEAR  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSTRIA.INDPROD.HYDRO    ,2605,2259,2942,2530,3977,4467,4064,4378,3807,2936,2866,3074,2969,2502,2420,2594,3159,3905,3621,3794,3067,3204,2433,2325,3307,2811,3603,3541,4439,4807,4737,4032,3900,3796,3549,3263
AUSTRIA.INDPROD.GEOTHERM ,217,208,245,149,169,139,160,162,139,173,206,205,180,189,210,215,165,185,233,128,163,181,134,227,377,352,264,239,233,167,157,128,223,194,237,219
AUSTRIA.INDPROD.ELECTR   ,5961,5348,5625,4413,5570,6115,5879,5930,5754,5684,5675,6338,6184,5337,5505,4724,5189,5483,5301,5110,4978,5466,5160,4975,6205,6157,5971,5298,5713,6078,5963,5482,5607,6022,6148,6002
AUSTRIA.IMPORTS.ELECTR   ,2255,2128,2173,2280,1194,763,1260,897,1206,1772,1942,2029,2231,2267,2373,2043,1642,1414,1791,1653,1788,2130,2568,3080,2507,2492,2535,2021,1517,1278,1460,1646,1738,1910,1925,2232
AUSTRIA.EXPORTS.ELECTR   ,1563,1412,1411,1149,1373,1519,1475,1388,1544,1579,1487,1666,1715,1430,1406,1174,1207,1450,1381,1188,1101,1661,1585,1453,1937,1939,2014,1519,1536,1800,1686,1433,1637,1823,1764,1367
AUSTRIA.CONSUME.ELECTR   ,6653,6064,6387,5544,5391,5359,5664,5439,5416,5877,6130,6701,6700,6174,6472,5593,5624,5447,5711,5575,5665,5935,6143,6602,6775,6710,6492,5800,5694,5556,5737,5695,5708,6109,6309,6867
BELGIUM.INDPROD.THERMAL  ,4369,3909,3693,3465,3427,3049,3316,2983,3175,3590,3369,3664,3317,3104,2825,2575,3153,2686,2795,2534,2701,2989,2992,2783,2743,3625,2546,2457,2232,2259,2302,2357,2653,2663,2688,2872
BELGIUM.INDPROD.NUCLEAR  ,3789,3581,4142,3660,3969,3770,3701,4233,3748,3623,3885,3628,3875,3327,3927,3965,3736,3761,3772,4314,3945,3660,3735,3926,4422,3795,3139,3263,3693,3311,3500,3093,2719,2124,2593,2811
BELGIUM.INDPROD.HYDRO    ,148,149,156,142,129,124,122,134,126,127,139,151,161,149,139,114,64,60,112,115,120,125,107,146,159,140,139,140,120,91,143,131,139,145,156,165
BELGIUM.INDPROD.GEOTHERM ,100,144,185,161,175,180,176,202,162,191,200,175,255,239,288,308,384,362,328,341,369,399,275,451,374,323,329,362,368,357,361,399,399,426,366,475
BELGIUM.INDPROD.ELECTR   ,8406,7783,8176,7427,7700,7123,7315,7552,7212,7531,7593,7618,7608,6820,7178,6962,7337,6869,7007,7305,7135,7172,7110,7305,7699,7882,6153,6222,6413,6018,6306,5981,5911,5359,5803,6324
BELGIUM.IMPORTS.ELECTR   ,1229,917,930,761,854,1062,800,801,906,1330,1213,1594,1368,1156,1427,1026,1005,1297,1107,860,803,927,1054,1160,1119,1243,1828,1276,1146,1155,880,1141,1283,2118,1920,1739
BELGIUM.EXPORTS.ELECTR   ,1012,948,1040,821,1156,934,1118,1344,922,1159,881,507,549,412,621,839,1140,1199,1347,1330,1042,736,727,711,784,1203,405,464,670,589,803,568,530,241,228,426
BELGIUM.CONSUME.ELECTR   ,8623,7752,8066,7367,7398,7251,6997,7009,7196,7702,7925,8705,8427,7564,7984,7149,7202,6967,6767,6835,6896,7363,7437,7754,8034,7922,7576,7034,6889,6584,6383,6554,6664,7236,7495,7637
CANADA.INDPROD.THERMAL   ,14424,12538,12425,10700,11576,11561,12980,12750,10892,11036,12031,12843,14627,12182,12620,10474,9827,9750,12084,11568,10762,11133,11742,12009,13670,12971,12700,10754,10313,10111,11504,11935,11180,11635,12012,13440
CANADA.INDPROD.NUCLEAR   ,7705,7089,7396,6177,5614,6457,6955,7452,7579,7533,6981,8590,8346,6914,7372,6854,7038,6653,7447,7857,7210,6870,6002,7224,7227,6374,7002,6438,7067,7332,7959,7282,6429,7520,8052,8011
CANADA.INDPROD.HYDRO     ,37899,33449,32421,28254,26465,25567,26567,24649,22317,25222,29441,35858,37822,33921,34831,30021,29339,27538,29577,28894,26214,27844,30467,36311,38099,33656,32742,29904,29258,27867,30453,30105,26993,29639,32356,35339
